Ferak orthoferavirus;Orthoferavirus;Unassigned;Feraviridae;Bunyavirales;ssRNA(-)
Mycobacterium virus Jeffabunny;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus JHC117;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus KBG;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Kssjeb;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Kugel;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus L5;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Lesedi;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus LHTSCC;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus lockley;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Marcell;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Microwolf;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Mrgordo;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Museum;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Nepal;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Packman;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Peaches;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Perseus;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Pukovnik;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Rebeuca;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Redrock;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Ridgecb;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Rockstar;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Saintus;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Skipole;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Solon;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Switzer;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus SWU1;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Ta17a;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Tiger;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Timshel;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Trixie;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Turbido;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Twister;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus U2;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Violet;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Wonder;L5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Escherichia virus HK022;Lambdavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Escherichia virus HK97;Lambdavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Escherichia virus Lambda;Lambdavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Arthrobacter virus Laroye;Laroyevirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Halo;Liefievirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Liefie;Liefievirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Marvin;Marvinvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Mosmoris;Marvinvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Arthrobacter virus Circum;Mudcatvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Arthrobacter virus Mudcat;Mudcatvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Escherichia virus N15;N15virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Escherichia virus 9g;Nonagvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Escherichia virus JenK1;Nonagvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Escherichia virus JenP1;Nonagvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Escherichia virus JenP2;Nonagvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Pseudomonas virus NP1;Np1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Pseudomonas virus PaMx25;Np1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Baka;Omegavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Courthouse;Omegavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Littlee;Omegavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Omega;Omegavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Optimus;Omegavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Thibault;Omegavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Polaribacter virus P12002L;P12002virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Polaribacter virus P12002S;P12002virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Nonlabens virus P12024L;P12024virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Nonlabens virus P12024S;P12024virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Thermus virus P23-45;P23virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Thermus virus P74-26;P23virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Listeria virus LP26;P70virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Listeria virus LP37;P70virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Listeria virus LP110;P70virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Listeria virus LP114;P70virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Listeria virus P70;P70virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus ATCC29399BC;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus ATCC29399BT;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus Attacne;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus Keiki;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus Kubed;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus Lauchelly;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus MrAK;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus Ouroboros;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus P91;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus P105;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus P144;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus P1001;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus P1.1;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus P100A;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus P100D;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus P101A;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus P104A;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PA6;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus Pacnes201215;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PAD20;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PAS50;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL009M11;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL025M00;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL037M02;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL041M10;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL060L00;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL067M01;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL070N00;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL071N05;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL082M03;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL092M00;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL095N00;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL111M01;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL112N00;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
